characteristic_id	formula_latex	formula_direction	data_fields	calculation_window_zh	calculation_window_en	accounting_lag_zh	accounting_lag_en	source_label	source_url	provenance	source_commit	code_path	code_lines	code_frequency_zh	code_frequency_en	reconcile_url	notes_zh	notes_en
mom60m	\(\displaystyle \mathrm{MOM60M}_{i,t}=\prod_{k=13}^{60}(1+\mathrm{RET}_{i,t-k})-1\)	-1	CRSP: RET	月频；收益滞后 13–60 月。	Monthly; return lags 13–60.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · accounting.py · L2130	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2130	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2130	月频。	Monthly.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
mom6m	\(\displaystyle \mathrm{MOM6M}_{i,t}=\prod_{k=1}^{6}(1+\mathrm{RET}_{i,t-k})-1\)	+1	CRSP: RET	月频；收益滞后 1–6 月。	Monthly; return lags 1–6.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · accounting.py · L2127	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2127	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2127	月频。	Monthly.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
ni	\(\displaystyle \mathrm{NI}_{i,t}=\log(\mathrm{CSHO}_{i,t}\mathrm{AJEX}_{i,t}) -\log(\mathrm{CSHO}_{i,t-1}\mathrm{AJEX}_{i,t-1})\)	-1	Compustat: AJEX, CSHO, NI	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L485, L1564	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L485	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	485,1564	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
nincr	\(\displaystyle I_k=\mathbf{1}\{\mathrm{IBQ}_{i,t-k}>\mathrm{IBQ}_{i,t-k-4}\},\quad \mathrm{NINCR}_{i,t}=\sum_{m=0}^{7}\prod_{k=0}^{m}I_k\)	+1	Compustat: IBQ	季频。	Quarterly.	按 chars_ciz 的季度或事件日期对齐；未另行添加页面假设。	Aligned by the chars_ciz quarterly or event-date rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L2011	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2011	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2011	季频。	Quarterly.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
noa	\(\displaystyle \mathrm{NOA}_{i,t}= \frac{(\mathrm{AT}_{i,t}-\mathrm{CHE}_{i,t}-\mathrm{IVAO}_{i,t}) -(\mathrm{AT}_{i,t}-\mathrm{DLC}_{i,t}-\mathrm{DLTT}_{i,t}-\mathrm{MIB}_{i,t}-\mathrm{PSTK}_{i,t}-\mathrm{CEQ}_{i,t})} {\mathrm{AT}_{i,t-1}}\)	-1	Compustat: AT, CEQ, CHE, DLC, DLTT, IVAO, MIB, PSTK	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L591, L1723	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L591	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	591,1723	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
op	\(\displaystyle \mathrm{OP}_{i,t}=\frac{\mathrm{REVT}_{i,t}-\mathrm{COGS}_{i,t}-\mathrm{XSGA}_{i,t}-\mathrm{XINT}_{i,t}}{\mathrm{BE}_{i,t}}\)	+1	Compustat: COGS, REVT, XINT, XSGA	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L498, L1572	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L498	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	498,1572	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
pchcapx_ia	\(\displaystyle g^{CAPX}_{i,t}=\frac{\mathrm{CAPX}_{i,t}-\mathrm{CAPX}_{i,t-1}}{\mathrm{CAPX}_{i,t-1}},\quad \mathrm{PCHCAPX\_IA}_{i,t}=g^{CAPX}_{i,t}-\overline{g^{CAPX}}_{\mathrm{FFI49}(i),t}\)		Compustat: CAPX; Fama–French 49 industry	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L1187	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L1187	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	1187	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
pchcurrat	\(\displaystyle \mathrm{PCHCURRAT}_{i,t}=\frac{\mathrm{CURRAT}_{i,t}-\mathrm{CURRAT}_{i,t-1}}{\mathrm{CURRAT}_{i,t-1}}\)		Compustat: ACT, LCT, CHE, RECT, INVT, AP	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L809	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L809	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	809	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
pchdepr	\(\displaystyle \mathrm{PCHDEPR}_{i,t}=\frac{\mathrm{DP}_{i,t}/\mathrm{PPENT}_{i,t}-\mathrm{DP}_{i,t-1}/\mathrm{PPENT}_{i,t-1}}{\mathrm{DP}_{i,t-1}/\mathrm{PPENT}_{i,t-1}}\)		Compustat: DP, PPENT	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L743	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L743	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	743	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
pchgm_pchsale	\(\displaystyle \mathrm{PCHGM\_PCHSALE}_{i,t}=\frac{\mathrm{GP}_{i,t}-\mathrm{GP}_{i,t-1}}{\mathrm{GP}_{i,t-1}}-\frac{\mathrm{SALE}_{i,t}-\mathrm{SALE}_{i,t-1}}{\mathrm{SALE}_{i,t-1}},\quad \mathrm{GP}=\mathrm{SALE}-\mathrm{COGS}\)		Compustat: SALE, COGS	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L721	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L721	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	721	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
pchquick	\(\displaystyle \mathrm{QUICK}_{i,t}=\frac{\mathrm{ACT}_{i,t}-\mathrm{INVT}_{i,t}}{\mathrm{LCT}_{i,t}},\quad \mathrm{PCHQUICK}_{i,t}=\frac{\mathrm{QUICK}_{i,t}-\mathrm{QUICK}_{i,t-1}}{\mathrm{QUICK}_{i,t-1}}\)		Compustat: ACT, INVT, LCT	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L822	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L822	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	822	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
pchsale_pchinvt	\(\displaystyle \mathrm{PCHSALE\_PCHINVT}_{i,t}=\frac{\Delta\mathrm{SALE}_{i,t}}{\mathrm{SALE}_{i,t-1}}-\frac{\Delta\mathrm{INVT}_{i,t}}{\mathrm{INVT}_{i,t-1}}\)		Compustat: INVT, SALE	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L698	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L698	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	698	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
pchsale_pchrect	\(\displaystyle \mathrm{PCHSALE\_PCHRECT}_{i,t}=\frac{\Delta\mathrm{SALE}_{i,t}}{\mathrm{SALE}_{i,t-1}}-\frac{\Delta\mathrm{RECT}_{i,t}}{\mathrm{RECT}_{i,t-1}}\)		Compustat: RECT, SALE	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L709	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L709	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	709	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
pchsale_pchxsga	\(\displaystyle \mathrm{PCHSALE\_PCHXSGA}_{i,t}=\frac{\Delta\mathrm{SALE}_{i,t}}{\mathrm{SALE}_{i,t-1}}-\frac{\Delta\mathrm{XSGA}_{i,t}}{\mathrm{XSGA}_{i,t-1}}\)		Compustat: SALE, XSGA	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L732	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L732	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	732	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
pchsaleinv	\(\displaystyle R_{i,t}=\frac{\mathrm{SALE}_{i,t}}{\mathrm{INVT}_{i,t}},\quad \mathrm{PCHSALEINV}_{i,t}=\frac{R_{i,t}-R_{i,t-1}}{R_{i,t-1}}\)		Compustat: SALE, INVT	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L843	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L843	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	843	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
pctacc	\(\displaystyle \mathrm{PCTACC}_{i,t}=\frac{\mathrm{ACC}_{i,t}}{|\mathrm{NI}_{i,t}|}\)	-1	Compustat: NI	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L551, L1614	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L551	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	551,1614	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
pm	\(\displaystyle \mathrm{PM}_{i,t}=\frac{\mathrm{OIADP}_{i,t}}{\mathrm{SALE}_{i,t}}\)	+1	Compustat: OIADP, SALE	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L602, L1763	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L602	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	602,1763	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
pscore	\(\displaystyle \mathrm{PSCORE}_{i,t}=\sum_{j=1}^{9}p_{j,i,t},\qquad p_{j,i,t}\in\{0,1\}\)	+1	Derived/intermediate variables; raw fields not stated	季频。	Quarterly.	按 chars_ciz 的季度或事件日期对齐；未另行添加页面假设。	Aligned by the chars_ciz quarterly or event-date rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L2057	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2057	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2057	季频。	Quarterly.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
quick	\(\displaystyle \mathrm{QUICK}_{i,t}=\frac{\mathrm{ACT}_{i,t}-\mathrm{INVT}_{i,t}}{\mathrm{LCT}_{i,t}}\)		Compustat: ACT, INVT, LCT	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L814	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L814	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	814	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
rd	\(\displaystyle \mathrm{RD}^{A}_{i,t}=\mathbf{1}\left\{\frac{\mathrm{XRD}_{i,t}/\mathrm{AT}_{i,t}}{\mathrm{XRD}_{i,t-1}/\mathrm{AT}_{i,t-1}}-1>0.05\right\},\quad \mathrm{RD}^{Q}_{i,t}=\mathbf{1}\left\{\frac{\mathrm{TTM4}(\mathrm{XRDQ})_{i,t}/\mathrm{ATQ}_{i,t}}{\mathrm{TTM4}(\mathrm{XRDQ})_{i,t-4}/\mathrm{ATQ}_{i,t-4}}-1>0.05\right\}\)		Compustat: AT, ATQ, XRD, XRDQ	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L664, L1607	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L664	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	664,1607	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
rd_sale	\(\displaystyle \mathrm{RD\_SALE}_{i,t}=\frac{\mathrm{XRD}_{i,t}}{\mathrm{SALE}_{i,t}}\)	+1	Compustat: SALE, XRD	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L520, L1671	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L520	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	520,1671	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
rdm	\(\displaystyle \mathrm{RDM}_{i,t}=\frac{\mathrm{XRD}_{i,t}}{\mathrm{ME}_{i,t}}\)	+1	Compustat: XRD	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L2323, L2435	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L2323	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	2323,2435	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
re	\(\displaystyle \mathrm{RE}_{i,t}=\frac{1}{n}\sum_{k=1}^{n}\mathrm{MONTHLY\_REVISION}_{i,t-k}\), where \(n=3,4,5,6\) for count \(4,5,6,\ge 7\), respectively.	+1	I/B/E/S: monthly earnings-forecast revision	月频 I/B/E/S 修正。	Monthly I/B/E/S revisions.	信号在 t 月形成；最终输出将收益移至 t+1 月。	The signal is formed at month t; final output shifts the return to month t+1.	EquityChars CIZ · myre.py · L118	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/myre.py#L118	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/myre.py	118	月频 I/B/E/S 修正。	Monthly I/B/E/S revisions.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
realestate	\(\displaystyle \mathrm{REALESTATE}_{i,t}=\frac{\mathrm{FATB}_{i,t}+\mathrm{FATL}_{i,t}}{\operatorname{coalesce}(\mathrm{PPEGT}_{i,t},\mathrm{PPENT}_{i,t})}\)		Compustat: FATB, FATL, PPEGT, PPENT	年频。	Annual.	按 chars_ciz 年频 jdate 对齐；未另行添加页面假设。	Aligned by the chars_ciz annual jdate rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L848, L855	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L848	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	848,855	年频。	Annual.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
rna	\(\displaystyle \mathrm{RNA}_{i,t}=\frac{\mathrm{OIADP}_{i,t}}{\mathrm{NOA}^{raw}_{i,t-1}}\)	+1	Compustat: OIADP	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L597, L1758	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L597	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	597,1758	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
roa	\(\displaystyle \mathrm{ROA}_{i,t}=\frac{\mathrm{IB}_{i,t}}{\mathrm{AT}_{i,t-1}}\).	+1	Compustat: AT, IB	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	年频与季频结果均在 CIZ 中对齐；最终比较 datadate，取较新的可用值。	CIZ aligns both annual and quarterly results, then selects the newer available value by datadate.	EquityChars CIZ · accounting.py · L669, L1476	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L669	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	669,1476	年频与季频；最终按 datadate 取较新的非空值。	Annual and quarterly; the final output uses the newer non-null value by datadate.	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/impute_rank_output.py#L85	公式按 chars_ciz 代码转写。年频与季频同时可用时，最终输出按 datadate 选择较新的非空值。	Formula transcribed from chars_ciz. When annual and quarterly values both exist, final output selects the newer non-null value by datadate.
roavol	\(\displaystyle \mathrm{ROA}^{Q}_{i,t}=\frac{\mathrm{IBQ}_{i,t}}{\mathrm{ATQ}_{i,t-1}},\quad \mathrm{ROAVOL}_{i,t}=\operatorname{Std}\{\mathrm{ROA}^{Q}_{i,t-k}:k=0,\ldots,15\}\)		Compustat: ATQ, IBQ	季度；当期及前 15 个季度的 ROA 标准差。	Quarterly; standard deviation of ROA over the current and prior 15 quarters.	按 chars_ciz 的季度或事件日期对齐；未另行添加页面假设。	Aligned by the chars_ciz quarterly or event-date rule; the page adds no extra assumption.	EquityChars CIZ · accounting.py · L1909	https://github.com/Yuning598/EquityChars/blob/9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627/chars_ciz/accounting.py#L1909	equitychars_ciz_code	9a0fa72d0b2dd688b7bcb72e52ce1f31fc33a627	chars_ciz/accounting.py	1909	季频。	Quarterly.		公式按 chars_ciz 代码转写，不采用旧版 SIZ 口径。	Formula transcribed from chars_ciz; the legacy SIZ definition is not used.
