characteristic_id	source_id	variant_role	source_label	source_year	formula_latex	formula_text	formula_match	data_fields	calculation_window_zh	calculation_window_en	accounting_lag_zh	accounting_lag_en	portfolio_rule_zh	portfolio_rule_en	direction	source_path	source_page	source_url	notes_zh	notes_en
mom6m	jegadeesh-1993	original_paper	Returns to Buying Winners and Selling Losers: Implications for Stock Market Efficiency	1993	\(\displaystyle \mathrm{MOM6}_{i,t}=\prod_{j=1}^{6}(1+R_{i,t-j})-1\)	Past J-month compounded return; the representative strategy uses J = 6 months	paper_definition	Past J-month compounded return; the representative strategy uses J = 6 months	CRSP daily-return file compounded to monthly returns; January 1965-December 1989; stocks need returns over the preceding J months.	CRSP daily-return file compounded to monthly returns; January 1965-December 1989; stocks need returns over the preceding J months.			Ten portfolios ranked ascending on J-month lagged returns; lowest-return decile is sell and highest-return decile is buy. Equal-weighted decile portfolios; the published results use monthly rebalanced returns. Monthly formation and rebalancing with K overlapping cohorts. K = 3, 6, 9, or 12 months; the representative case is 6 months.	Ten portfolios ranked ascending on J-month lagged returns; lowest-return decile is sell and highest-return decile is buy. Equal-weighted decile portfolios; the published results use monthly rebalanced returns. Monthly formation and rebalancing with K overlapping cohorts. K = 3, 6, 9, or 12 months; the representative case is 6 months.	H-L	papers/jegadeesh-1993/jegadeesh-titman-1993.pdf		https://doi.org/10.1111/j.1540-6261.1993.tb04702.x	按论文变量定义转写。	Transcribed from the paper's variable definition.
ni	pontiff-2008	original_paper	Share Issuance and Cross-sectional Returns	2008	\(\displaystyle \mathrm{ISSUE}_{i,t:t-11}=\ln(\mathrm{SplitAdjustedShares}_{i,t})-\ln(\mathrm{SplitAdjustedShares}_{i,t-11})\)	ISSUE(t,t-11) = ln(split-adjusted shares outstanding at t) - ln(split-adjusted shares outstanding at t-11)	closest_paper_measure	ISSUE(t,t-11) = ln(split-adjusted shares outstanding at t) - ln(split-adjusted shares outstanding at t-11)	The primary sample contains monthly CRSP observations from January 1970-December 2003; an out-of-sample test covers September 1932-December 1969.	The primary sample contains monthly CRSP observations from January 1970-December 2003; an out-of-sample test covers September 1932-December 1969.			N/A; predictive cross-sectional regressions rather than portfolio sorts. N/A; no standalone hedge portfolio. monthly regressions with a rolling annual signal One month, six months, one year, second-year annual, and third-year annual holding-period dependent variables.	N/A; predictive cross-sectional regressions rather than portfolio sorts. N/A; no standalone hedge portfolio. monthly regressions with a rolling annual signal One month, six months, one year, second-year annual, and third-year annual holding-period dependent variables.	not-simple	papers/pontiff-2008/pontiff-2008-publisher.pdf		https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6261.2008.01335.x	论文只给出最接近口径，与项目指标不完全相同。	The paper provides the closest available measure; it is not identical to the project signal.
nincr	barth-1999	original_paper	Market Rewards Associated with Patterns of Increasing Earnings	1999	\(\displaystyle \mathrm{NINCR}_{i,t}=\sum_{k=0}^{K-1}\mathbf{1}\!\left(\mathrm{Earnings}_{i,t-k}>\mathrm{Earnings}_{i,t-k-1}\right)\)	repository signal: number of consecutive quarterly earnings increases; paper variable: consecutive annual earnings increases	closest_paper_measure	repository signal: number of consecutive quarterly earnings increases; paper variable: consecutive annual earnings increases	COMPUSTAT/CRSP firm-years from 1982-1992; the return specification uses compound 12-month market-adjusted returns beginning with the fiscal year's first month.	COMPUSTAT/CRSP firm-years from 1982-1992; the return specification uses compound 12-month market-adjusted returns beginning with the fiscal year's first month.			Regression indicators for at least five consecutive annual increases and, in sensitivity tests, one through nine or more years; no portfolio breakpoints. Regression analysis; no portfolio weights. Annual firm-year tests. 12-month market-adjusted return in the return specification; no portfolio holding period.	Regression indicators for at least five consecutive annual increases and, in sensitivity tests, one through nine or more years; no portfolio breakpoints. Regression analysis; no portfolio weights. Annual firm-year tests. 12-month market-adjusted return in the return specification; no portfolio holding period.	not-simple	papers/barth-1999/barth-elliott-finn-1999.pdf		https://www.jstor.org/stable/2491414	论文只给出最接近口径，与项目指标不完全相同。	The paper provides the closest available measure; it is not identical to the project signal.
noa	hirshleifer-2004	original_paper	Do investors overvalue firms with bloated balance sheets?	2004	\(\displaystyle \mathrm{NOA}_{i,t}=\frac{\mathrm{OperatingAssets}_{i,t}-\mathrm{OperatingLiabilities}_{i,t}}{\mathrm{AT}_{i,t-1}}\)	scaled net operating assets = (operating assets - operating liabilities) / lagged total assets	paper_definition	scaled net operating assets = (operating assets - operating liabilities) / lagged total assets	Monthly portfolio formation July 1964-December 2002 using previous fiscal-year NOA; minimum four-month lag between fiscal year-end and portfolio formation/return matching.	Monthly portfolio formation July 1964-December 2002 using previous fiscal-year NOA; minimum four-month lag between fiscal year-end and portfolio formation/return matching.			NOA deciles. Monthly equal-weighted abnormal return within decile; value-weighted variant also reported; benchmark adjustment uses size/book-to-market/momentum matched portfolios. Monthly. Monthly returns; paper reports annual abnormal returns by summing monthly returns and first/second/third-year effects after release.	NOA deciles. Monthly equal-weighted abnormal return within decile; value-weighted variant also reported; benchmark adjustment uses size/book-to-market/momentum matched portfolios. Monthly. Monthly returns; paper reports annual abnormal returns by summing monthly returns and first/second/third-year effects after release.	L-H	papers/hirshleifer-2004/hirshleifer-2004-publisher-fulltext.html		https://doi.org/10.1016/j.jacceco.2004.10.002	按论文变量定义转写。	Transcribed from the paper's variable definition.
op	fama-2015	original_paper	A five-factor asset pricing model	2015	\(\displaystyle \mathrm{OP}_{i,t}=\frac{\mathrm{REVT}_{i,t}-\mathrm{COGS}_{i,t}-\mathrm{XSGA}_{i,t}-\mathrm{XINT}_{i,t}}{\mathrm{BookEquity}_{i,t}}\)	Operating profitability (OP)	paper_definition	Operating profitability (OP)	July 1963-December 2013; accounting data for the fiscal year ending in t-1 are used at the end of June in year t, with monthly factor returns thereafter.	July 1963-December 2013; accounting data for the fiscal year ending in t-1 are used at the end of June in year t, with monthly factor returns thereafter.			NYSE median market cap; 30th and 70th NYSE percentiles for OP. Value-weighted intersection portfolios; the RMW factor equally averages the small and big robust legs and subtracts the corresponding weak legs. Annual June reconstitution. 12 months, measured monthly from July through the following June.	NYSE median market cap; 30th and 70th NYSE percentiles for OP. Value-weighted intersection portfolios; the RMW factor equally averages the small and big robust legs and subtracts the corresponding weak legs. Annual June reconstitution. 12 months, measured monthly from July through the following June.	H-L	papers/fama-2015/fama-2015-authoritative-fulltext.html		https://doi.org/10.1016/j.jfineco.2014.10.010	按论文变量定义转写。	Transcribed from the paper's variable definition.
pchcapx_ia	abarbanell-1998	original_paper	Abnormal Returns to a Fundamental Analysis Strategy	1998	\(\displaystyle g(\mathrm{CAPX}_{i,t})-\overline{g(\mathrm{CAPX}_{t})}_{\,\mathrm{industry}(i)}\)	industry-adjusted % change in capital expenditures	paper_definition	industry-adjusted % change in capital expenditures	Sample 1974-1988 for the main strategy and 1989-1993 for the holdout period; signals are formed from annual accounting data.	Sample 1974-1988 for the main strategy and 1989-1993 for the holdout period; signals are formed from annual accounting data.			Annual decile ranks of the signal, beta, and earnings-change controls. OLS-derived zero-investment weights on [1, RSIGNAL, RBETA, RCEPS]. Annual. 12 months.	Annual decile ranks of the signal, beta, and earnings-change controls. OLS-derived zero-investment weights on [1, RSIGNAL, RBETA, RCEPS]. Annual. 12 months.	not-simple	papers/abarbanell-1998/abarbanell-bushee-1998.pdf		https://www.jstor.org/stable/248340	按论文变量定义转写。	Transcribed from the paper's variable definition.
pchcurrat	ou-1989	original_paper	Financial statement analysis and the prediction of stock returns	1989	\(\displaystyle \mathrm{PCHCURRAT}_{i,t}=\frac{\mathrm{CurrentRatio}_{i,t}-\mathrm{CurrentRatio}_{i,t-1}}{\mathrm{CurrentRatio}_{i,t-1}}\)	Percentage change in current ratio	paper_definition	Percentage change in current ratio	Descriptors are estimated on 1965-1972 or 1973-1977 data; annual positions are formed for 1973-1983 three months after fiscal year-end.	Descriptors are estimated on 1965-1972 or 1973-1977 data; annual positions are formed for 1973-1983 three months after fiscal year-end.			The published portfolio cutoffs apply to composite Pr (>0.6 versus <=0.4), not to pchcurrat. Mean monthly returns on each composite position; the reported hedge is the zero-investment difference between the two sides. Annual overlapping formation with monthly portfolio rebalancing in the cumulative-return calculation. 24 months.	The published portfolio cutoffs apply to composite Pr (>0.6 versus <=0.4), not to pchcurrat. Mean monthly returns on each composite position; the reported hedge is the zero-investment difference between the two sides. Annual overlapping formation with monthly portfolio rebalancing in the cumulative-return calculation. 24 months.	not-simple	papers/ou-1989/ou-1989.pdf		https://doi.org/10.1016/0165-4101(89)90017-7	按论文变量定义转写。	Transcribed from the paper's variable definition.
pchdepr	holthausen-1992	original_paper	The prediction of stock returns using financial statement information	1992	\(\displaystyle \mathrm{PCHDEPR}_{i,t}=\frac{\mathrm{DEPR}_{i,t}-\mathrm{DEPR}_{i,t-1}}{\mathrm{DEPR}_{i,t-1}}\)	percentage change in depreciation divided by plant assets	paper_definition	percentage change in depreciation divided by plant assets	Models are estimated separately for NYSE/AMEX and OTC firms on 1973-1977 and 1978-1982 data and tested out of sample through 1988; accounting data are assumed available four months after fiscal year-end.	Models are estimated separately for NYSE/AMEX and OTC firms on 1973-1977 and 1978-1982 data and tested out of sample through 1988; accounting data are assumed available four months after fiscal year-end.			Composite probability-score deciles based on in-sample cutoffs; portfolios 1-3 are long and 8-10 short. No standalone change-in-depreciation breakpoint. Pooled equal-weighted observations and an implementable annual weighting scheme are both reported for the composite strategy. Annual signal/portfolio formation. 12 months primarily; 24-, 36-, and 48-month buy-and-hold results also reported.	Composite probability-score deciles based on in-sample cutoffs; portfolios 1-3 are long and 8-10 short. No standalone change-in-depreciation breakpoint. Pooled equal-weighted observations and an implementable annual weighting scheme are both reported for the composite strategy. Annual signal/portfolio formation. 12 months primarily; 24-, 36-, and 48-month buy-and-hold results also reported.	not-simple	papers/holthausen-1992/holthausen-1992-publisher.pdf		https://doi.org/10.1016/0165-4101(92)90025-W	按论文变量定义转写。	Transcribed from the paper's variable definition.
pchgm_pchsale	abarbanell-1998	original_paper	Abnormal Returns to a Fundamental Analysis Strategy	1998	\(\displaystyle g(\mathrm{SALE}_{i,t}-\mathrm{COGS}_{i,t})-g(\mathrm{SALE}_{i,t})\)	% change in gross margin - % change in sales	paper_definition	% change in gross margin - % change in sales	Sample 1974-1988 for the main strategy and 1989-1993 for the holdout period; signals are formed from annual accounting data.	Sample 1974-1988 for the main strategy and 1989-1993 for the holdout period; signals are formed from annual accounting data.			Annual decile ranks of the signal, beta, and earnings-change controls. OLS-derived zero-investment weights on [1, RSIGNAL, RBETA, RCEPS]. Annual. 12 months.	Annual decile ranks of the signal, beta, and earnings-change controls. OLS-derived zero-investment weights on [1, RSIGNAL, RBETA, RCEPS]. Annual. 12 months.	not-simple	papers/abarbanell-1998/abarbanell-bushee-1998.pdf		https://www.jstor.org/stable/248340	按论文变量定义转写。	Transcribed from the paper's variable definition.
pchquick	ou-1989	original_paper	Financial statement analysis and the prediction of stock returns	1989	\(\displaystyle \mathrm{PCHQUICK}_{i,t}=\frac{\mathrm{QuickRatio}_{i,t}-\mathrm{QuickRatio}_{i,t-1}}{\mathrm{QuickRatio}_{i,t-1}}\)	Percentage change in quick ratio	paper_definition	Percentage change in quick ratio	Descriptors are estimated on 1965-1972 or 1973-1977 data; annual positions are formed for 1973-1983 three months after fiscal year-end.	Descriptors are estimated on 1965-1972 or 1973-1977 data; annual positions are formed for 1973-1983 three months after fiscal year-end.			The published portfolio cutoffs apply to composite Pr (>0.6 versus <=0.4), not to pchquick. Mean monthly returns on each composite position; the reported hedge is the zero-investment difference between the two sides. Annual overlapping formation with monthly portfolio rebalancing in the cumulative-return calculation. 24 months.	The published portfolio cutoffs apply to composite Pr (>0.6 versus <=0.4), not to pchquick. Mean monthly returns on each composite position; the reported hedge is the zero-investment difference between the two sides. Annual overlapping formation with monthly portfolio rebalancing in the cumulative-return calculation. 24 months.	not-simple	papers/ou-1989/ou-1989.pdf		https://doi.org/10.1016/0165-4101(89)90017-7	按论文变量定义转写。	Transcribed from the paper's variable definition.
pchsale_pchinvt	abarbanell-1998	original_paper	Abnormal Returns to a Fundamental Analysis Strategy	1998	\(\displaystyle g(\mathrm{SALE}_{i,t})-g(\mathrm{INVT}_{i,t})\)	% change in sales - % change in inventory	paper_definition	% change in sales - % change in inventory	Sample 1974-1988 for the main strategy and 1989-1993 for the holdout period; signals are formed from annual accounting data.	Sample 1974-1988 for the main strategy and 1989-1993 for the holdout period; signals are formed from annual accounting data.			Annual decile ranks of the signal, beta, and earnings-change controls. OLS-derived zero-investment weights on [1, RSIGNAL, RBETA, RCEPS]. Annual. 12 months.	Annual decile ranks of the signal, beta, and earnings-change controls. OLS-derived zero-investment weights on [1, RSIGNAL, RBETA, RCEPS]. Annual. 12 months.	not-simple	papers/abarbanell-1998/abarbanell-bushee-1998.pdf		https://www.jstor.org/stable/248340	按论文变量定义转写。	Transcribed from the paper's variable definition.
pchsale_pchrect	abarbanell-1998	original_paper	Abnormal Returns to a Fundamental Analysis Strategy	1998	\(\displaystyle g(\mathrm{SALE}_{i,t})-g(\mathrm{RECT}_{i,t})\)	% change in sales - % change in accounts receivable	paper_definition	% change in sales - % change in accounts receivable	Sample 1974-1988 for the main strategy and 1989-1993 for the holdout period; signals are formed from annual accounting data.	Sample 1974-1988 for the main strategy and 1989-1993 for the holdout period; signals are formed from annual accounting data.			Annual decile ranks of the signal, beta, and earnings-change controls. OLS-derived zero-investment weights on [1, RSIGNAL, RBETA, RCEPS]. Annual. 12 months.	Annual decile ranks of the signal, beta, and earnings-change controls. OLS-derived zero-investment weights on [1, RSIGNAL, RBETA, RCEPS]. Annual. 12 months.	not-simple	papers/abarbanell-1998/abarbanell-bushee-1998.pdf		https://www.jstor.org/stable/248340	按论文变量定义转写。	Transcribed from the paper's variable definition.
pchsale_pchxsga	abarbanell-1998	original_paper	Abnormal Returns to a Fundamental Analysis Strategy	1998	\(\displaystyle g(\mathrm{SALE}_{i,t})-g(\mathrm{XSGA}_{i,t})\)	% change in sales - % change in SG&A	paper_definition	% change in sales - % change in SG&A	Sample 1974-1988 for the main strategy and 1989-1993 for the holdout period; signals are formed from annual accounting data.	Sample 1974-1988 for the main strategy and 1989-1993 for the holdout period; signals are formed from annual accounting data.			Annual decile ranks of the signal, beta, and earnings-change controls. OLS-derived zero-investment weights on [1, RSIGNAL, RBETA, RCEPS]. Annual. 12 months.	Annual decile ranks of the signal, beta, and earnings-change controls. OLS-derived zero-investment weights on [1, RSIGNAL, RBETA, RCEPS]. Annual. 12 months.	not-simple	papers/abarbanell-1998/abarbanell-bushee-1998.pdf		https://www.jstor.org/stable/248340	按论文变量定义转写。	Transcribed from the paper's variable definition.
pchsaleinv	ou-1989	original_paper	Financial statement analysis and the prediction of stock returns	1989	\(\displaystyle \mathrm{PCHSALEINV}_{i,t}=\frac{\mathrm{SALE}_{i,t}/\mathrm{INVT}_{i,t}-\mathrm{SALE}_{i,t-1}/\mathrm{INVT}_{i,t-1}}{\mathrm{SALE}_{i,t-1}/\mathrm{INVT}_{i,t-1}}\)	Percentage change in inventory turnover (sales to inventory)	paper_definition	Percentage change in inventory turnover (sales to inventory)	Descriptors are estimated on 1965-1972 or 1973-1977 data; annual positions are formed for 1973-1983 three months after fiscal year-end.	Descriptors are estimated on 1965-1972 or 1973-1977 data; annual positions are formed for 1973-1983 three months after fiscal year-end.			The published portfolio cutoffs apply to composite Pr (>0.6 versus <=0.4), not to pchsaleinv. Mean monthly returns on each composite position; the reported hedge is the zero-investment difference between the two sides. Annual overlapping formation with monthly portfolio rebalancing in the cumulative-return calculation. 24 months.	The published portfolio cutoffs apply to composite Pr (>0.6 versus <=0.4), not to pchsaleinv. Mean monthly returns on each composite position; the reported hedge is the zero-investment difference between the two sides. Annual overlapping formation with monthly portfolio rebalancing in the cumulative-return calculation. 24 months.	not-simple	papers/ou-1989/ou-1989.pdf		https://doi.org/10.1016/0165-4101(89)90017-7	按论文变量定义转写。	Transcribed from the paper's variable definition.
pctacc	hafzalla-2011	original_paper	Percent Accruals	2011	\(\displaystyle \mathrm{PCTACC}_{i,t}=\frac{\mathrm{NI}_{i,t}-\mathrm{CFO}_{i,t}}{\lvert\mathrm{NI}_{i,t}\rvert}\)	(Net Income - Cash from Operations) / |Net Income|	paper_definition	(Net Income - Cash from Operations) / |Net Income|	Nonfinancial Compustat/CRSP firm-years spanning 1989-2008; returns start on the first day of the fourth month after fiscal year-end.	Nonfinancial Compustat/CRSP firm-years spanning 1989-2008; returns start on the first day of the fourth month after fiscal year-end.			Prior-year decile breakpoints; ten portfolios; Table 4 reports decile 1 through 10 and decile 1 minus decile 10. Not explicitly stated for the accrual decile portfolios; excess returns use equally weighted size-reference portfolios. Annual. One year.	Prior-year decile breakpoints; ten portfolios; Table 4 reports decile 1 through 10 and decile 1 minus decile 10. Not explicitly stated for the accrual decile portfolios; excess returns use equally weighted size-reference portfolios. Annual. One year.	L-H	papers/hafzalla-2011/hafzalla-2011-publisher.pdf		https://doi.org/10.2308/accr.00000011	按论文变量定义转写。	Transcribed from the paper's variable definition.
pm	soliman-2008	original_paper	The Use of DuPont Analysis by Market Participants	2008	\(\displaystyle \mathrm{PM}_{i,t}=\frac{\mathrm{OperatingIncome}_{i,t}}{\mathrm{SALE}_{i,t}}\)	PM = operating income divided by total sales	paper_definition	PM = operating income divided by total sales	38,716 firm-years from 1984-2002; future returns begin four months after fiscal year-end.	38,716 firm-years from 1984-2002; future returns begin four months after fiscal year-end.			Annual decile ranks in future-return regressions. N/A; regression evidence rather than a standalone PM portfolio. annual One year.	Annual decile ranks in future-return regressions. N/A; regression evidence rather than a standalone PM portfolio. annual One year.	not-simple	papers/soliman-2008/soliman-2008-publisher.pdf		https://onlinelibrary.wiley.com/doi/abs/10.2308/accr.2008.83.3.823	按论文变量定义转写。	Transcribed from the paper's variable definition.
pscore	piotroski-2000	original_paper	Value Investing: The Use of Historical Financial Statement Information to Separate Winners from Losers	2000	\(\displaystyle \mathrm{FScore}_{i,t}=\mathbf{1}_{ROA}+\mathbf{1}_{\Delta ROA}+\mathbf{1}_{CFO}+\mathbf{1}_{Accrual}+\mathbf{1}_{\Delta Margin}+\mathbf{1}_{\Delta Turnover}+\mathbf{1}_{\Delta Leverage}+\mathbf{1}_{\Delta Liquidity}+\mathbf{1}_{NoIssue}\)	F-SCORE = sum of nine binary financial statement signals	paper_definition	F-SCORE = sum of nine binary financial statement signals	High book-to-market firms only; 14,043 high-BM firm-years over 21 years; returns start at the beginning of the fifth month after fiscal year-end.	High book-to-market firms only; 14,043 high-BM firm-years over 21 years; returns start at the beginning of the fifth month after fiscal year-end.			Highest BM quintile first; main F-SCORE extremes use 0-1 versus 8-9; calendar-year hedge uses >=5 versus <5. Mean buy-and-hold firm returns / equal-weighted portfolio comparison; market-adjusted returns subtract the value-weighted market index buy-and-hold return. Annual. 12 months for main one-year returns; two-year returns also reported.	Highest BM quintile first; main F-SCORE extremes use 0-1 versus 8-9; calendar-year hedge uses >=5 versus <5. Mean buy-and-hold firm returns / equal-weighted portfolio comparison; market-adjusted returns subtract the value-weighted market index buy-and-hold return. Annual. 12 months for main one-year returns; two-year returns also reported.	H-L	papers/piotroski-2000/piotroski-2000.pdf		https://www.jstor.org/stable/2672906	按论文变量定义转写。	Transcribed from the paper's variable definition.
quick	ou-1989	original_paper	Financial statement analysis and the prediction of stock returns	1989	\(\displaystyle \mathrm{QuickRatio}_{i,t}=\frac{\mathrm{ACT}_{i,t}-\mathrm{INVT}_{i,t}}{\mathrm{LCT}_{i,t}}\)	Quick ratio	paper_definition	Quick ratio	Descriptors are estimated on 1965-1972 or 1973-1977 data; annual positions are formed for 1973-1983 three months after fiscal year-end.	Descriptors are estimated on 1965-1972 or 1973-1977 data; annual positions are formed for 1973-1983 three months after fiscal year-end.			The published portfolio cutoffs apply to composite Pr (>0.6 versus <=0.4), not to quick ratio. Mean monthly returns on each composite position; the reported hedge is the zero-investment difference between the two sides. Annual overlapping formation with monthly portfolio rebalancing in the cumulative-return calculation. 24 months.	The published portfolio cutoffs apply to composite Pr (>0.6 versus <=0.4), not to quick ratio. Mean monthly returns on each composite position; the reported hedge is the zero-investment difference between the two sides. Annual overlapping formation with monthly portfolio rebalancing in the cumulative-return calculation. 24 months.	not-simple	papers/ou-1989/ou-1989.pdf		https://doi.org/10.1016/0165-4101(89)90017-7	按论文变量定义转写。	Transcribed from the paper's variable definition.
rd	eberhart-2004	original_paper	An Examination of Long-Term Abnormal Stock Returns and Operating Performance Following R&D Increases	2004	\(\displaystyle \mathrm{RDIncrease}_{i,t}=\mathbf{1}\!\left[g(\mathrm{R\&DIntensity}_{i,t})\ge 5\%\right]\)	R&D increase	paper_definition	R&D increase	Post-increase abnormal returns are tracked for 60 months.	Post-increase abnormal returns are tracked for 60 months.			One sample-firm versus matched-firm screen; no quantile breakpoint table in the cited passage. N/A Event-driven. 60 months.	One sample-firm versus matched-firm screen; no quantile breakpoint table in the cited passage. N/A Event-driven. 60 months.	not-simple	papers/eberhart-2004/eberhart-maxwell-siddique-2004-jstor.pdf		https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2004.00644.x	按论文变量定义转写。	Transcribed from the paper's variable definition.
rd_sale	guo-2006	original_paper	Explaining the Short- and Long-Term IPO Anomalies in the US by R&D	2006	\(\displaystyle \mathrm{RD\_SALES}_{i}=\frac{\mathrm{PreIPO\ R\&D}_{i}}{\mathrm{PreIPO\ Sales}_{i}}\)	RD_SALES = pre-IPO annual R&D expenditures / pre-IPO annual sales	paper_definition	RD_SALES = pre-IPO annual R&D expenditures / pre-IPO annual sales	2,696 U.S. IPOs issued during 1980-1995; portfolio returns run from the 7th through the 42nd month after each IPO, over April 1981-December 1998.	2,696 U.S. IPOs issued during 1980-1995; portfolio returns run from the 7th through the 42nd month after each IPO, over April 1981-December 1998.			Within each IPO year, positive-R&D firms are split below/above that year's median RD_SALES; zero-R&D firms form a separate group. Equal-weighted calendar-month portfolio returns. monthly Months 7-42 after the offering; constituents enter and leave with IPO age.	Within each IPO year, positive-R&D firms are split below/above that year's median RD_SALES; zero-R&D firms form a separate group. Equal-weighted calendar-month portfolio returns. monthly Months 7-42 after the offering; constituents enter and leave with IPO age.	H-L	papers/guo-2006/guo-2006-publisher.pdf		https://doi.org/10.1111/j.1468-5957.2006.00610.x	按论文变量定义转写。	Transcribed from the paper's variable definition.
rdm	chan-2001	original_paper	The Stock Market Valuation of Research and Development Expenditures	2001	\(\displaystyle \mathrm{RDM}_{i,t}=\frac{\mathrm{XRD}_{i,t}}{\mathrm{ME}_{i,t}}\)	R&D expenditures relative to market value of equity	paper_definition	R&D expenditures relative to market value of equity	Domestic NYSE/AMEX/Nasdaq primary stocks with CRSP and COMPUSTAT coverage; portfolios formed at end of April each year from 1975 to 1995 using most recently available accounting data with a four-month reporting delay.	Domestic NYSE/AMEX/Nasdaq primary stocks with CRSP and COMPUSTAT coverage; portfolios formed at end of April each year from 1975 to 1995 using most recently available accounting data with a four-month reporting delay.			Five portfolios by R&D-to-market among firms with R&D; no-R&D firms are reported separately; OCR table indicates 1 Low through 5 High. Equally weighted annual buy-and-hold portfolio returns; excess returns use size/book-to-market matched control portfolios. Annual April formation; text says portfolio composition is revised each year. First, second, and third postformation years and average over the three postformation years.	Five portfolios by R&D-to-market among firms with R&D; no-R&D firms are reported separately; OCR table indicates 1 Low through 5 High. Equally weighted annual buy-and-hold portfolio returns; excess returns use size/book-to-market matched control portfolios. Annual April formation; text says portfolio composition is revised each year. First, second, and third postformation years and average over the three postformation years.	not-simple	papers/chan-2001/chan-lakonishok-sougiannis-2001-jstor.pdf		https://onlinelibrary.wiley.com/doi/10.1111/0022-1082.00411	按论文变量定义转写。	Transcribed from the paper's variable definition.
re	chan-1996	original_paper	Momentum Strategies	1996	\(\displaystyle \mathrm{RE}_{i,t}=\frac{1}{6\,P_{i,t-1}}\sum_{k=1}^{6}\Delta\overline{\mathrm{EPSForecast}}_{i,t-k}\)	moving average of the last six months' revisions in mean I/B/E/S current-fiscal-year EPS estimates, scaled by beginning-of-month stock price	paper_definition	moving average of the last six months' revisions in mean I/B/E/S current-fiscal-year EPS estimates, scaled by beginning-of-month stock price	Domestic NYSE/AMEX/Nasdaq primary stocks with CRSP, COMPUSTAT, and I/B/E/S forecast data where available; monthly formations from January 1977 to January 1993; returns start after skipping the first five days after formation.	Domestic NYSE/AMEX/Nasdaq primary stocks with CRSP, COMPUSTAT, and I/B/E/S forecast data where available; monthly formations from January 1977 to January 1993; returns start after skipping the first five days after formation.			NYSE-only decile breakpoints. Equal-weighted stocks within each decile portfolio. Monthly formation/ranking; remaining stocks rebalanced to equal weights at the end of each reported period for subsequent-period returns. Following six months and first, second, and third subsequent years; Table X two-way strategy uses six-month holding then reforming.	NYSE-only decile breakpoints. Equal-weighted stocks within each decile portfolio. Monthly formation/ranking; remaining stocks rebalanced to equal weights at the end of each reported period for subsequent-period returns. Following six months and first, second, and third subsequent years; Table X two-way strategy uses six-month holding then reforming.	not-simple	papers/chan-1996/chan-jegadeesh-lakonishok-1996-jstor.pdf		https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.1996.tb05222.x	按论文变量定义转写。	Transcribed from the paper's variable definition.
realestate	tuzel-2010	original_paper	Corporate Real Estate Holdings and the Cross-Section of Stock Returns	2010	\(\displaystyle \mathrm{RER}_{i,t}=\frac{\mathrm{Buildings}_{i,t}+\mathrm{CapitalizedLeases}_{i,t}}{\mathrm{PPE}_{i,t}}-\overline{\left(\frac{\mathrm{Buildings}+\mathrm{CapitalizedLeases}}{\mathrm{PPE}}\right)}_{\,\mathrm{SIC2}(i),t}\)	RER = [(buildings + capitalized leases) / PPE]firm minus the corresponding two-digit-SIC industry average	paper_definition	RER = [(buildings + capitalized leases) / PPE]firm minus the corresponding two-digit-SIC industry average	Non-real-estate Compustat firms with capital-composition data, matched to CRSP returns from July 1971-June 2005; fiscal-year t-1 accounting data are matched to July t-June t+1 returns with at least a six-month lag.	Non-real-estate Compustat firms with capital-composition data, matched to CRSP returns from July 1971-June 2005; fiscal-year t-1 accounting data are matched to July t-June t+1 returns with at least a six-month lag.			Annual quintiles on industry-adjusted RER. Value-weighted and equal-weighted monthly returns are reported; the significant main 5-1 results use value weighting. Annual. 12 months, July through June after formation.	Annual quintiles on industry-adjusted RER. Value-weighted and equal-weighted monthly returns are reported; the significant main 5-1 results use value weighting. Annual. 12 months, July through June after formation.	H-L	papers/tuzel-2010/tuzel-2010-publisher-fulltext.html		https://doi.org/10.1093/rfs/hhq006	按论文变量定义转写。	Transcribed from the paper's variable definition.
rna	soliman-2008	original_paper	The Use of DuPont Analysis by Market Participants	2008	\(\displaystyle \mathrm{RNOA}_{i,t}=\mathrm{PM}_{i,t}\times\mathrm{ATO}_{i,t}\)	repository label is quarterly return on net operating assets / quarterly asset turnover; paper variable is annual RNOA = PM × ATO	closest_paper_measure	repository label is quarterly return on net operating assets / quarterly asset turnover; paper variable is annual RNOA = PM × ATO	38,716 annual firm-years from 1984-2002.	38,716 annual firm-years from 1984-2002.			N/A; annual regression variables do not match the quarterly repository characteristic. N/A annual in the paper; quarterly in the repository label N/A	N/A; annual regression variables do not match the quarterly repository characteristic. N/A annual in the paper; quarterly in the repository label N/A	not-simple	papers/soliman-2008/soliman-2008-publisher.pdf		https://onlinelibrary.wiley.com/doi/abs/10.2308/accr.2008.83.3.823	论文只给出最接近口径，与项目指标不完全相同。	The paper provides the closest available measure; it is not identical to the project signal.
